@id,label,definition,notation,unit.label,unit.comment
http://environment.data.gov.uk/water-quality/def/determinands/0172,Chloride Ion,Chloride,0172,mg/l,MILLIGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/0158,Hardness,"Hardness, Total as CaCO3",0158,mg/l,MILLIGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/0116,N Oxidised,"Nitrogen, Total Oxidised as N",0116,mg/l,MILLIGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/0076,Temp Water,Temperature of Water,0076,cel,CELSIUS
http://environment.data.gov.uk/water-quality/def/determinands/0742,HydrocrbnsPA,PAH : Total :- {Polynuclear Aromatic Hydrocarbons},0742,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/9901,O Diss %sat,"Oxygen, Dissolved, % Saturation",9901,%,PERCENTAGE
http://environment.data.gov.uk/water-quality/def/determinands/6051,Iron - as Fe,Iron,6051,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/0733,B-[k]-fluora,Benzo(k)Fluoranthene,0733,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/3683,N Inorganic,"Nitrogen, Total Inorganic : (Calculated)",3683,mg/l,MILLIGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/0555,DDT (PP),DDT -pp,0555,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/7213,Tot DDTs (4),"DDT : Total Isomers (DDT op pp, DDE pp, TDE pp)",7213,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/7726,"2,3,6-TBA","2,3,6-TBA :- {2,3,6-Trichlorobenzoic acid}",7726,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/6455,Zinc - as Zn,Zinc,6455,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/9933,ColformsPre,"Coliforms, Total : Presumptive : MF",9933,no/100ml,NUMBER PER HUNDRED MILLILITRES
http://environment.data.gov.uk/water-quality/def/determinands/0085,BOD ATU,BOD : 5 Day ATU,0085,mg/l,MILLIGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/0543,Parathion,Parathion-ethyl :- {Parathion},0543,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/7904,Na RATIO,Sodium adsorption ratio,7904,unitless,UNITLESS VALUE
http://environment.data.gov.uk/water-quality/def/determinands/0081,O Diss% Satn,"Oxygen, Dissolved, % Saturation : (Laboratory)",0081,%,PERCENTAGE
http://environment.data.gov.uk/water-quality/def/determinands/9863,AzinphsEthyl,Azinphos-ethyl,9863,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/0061,pH,pH,0061,phunits,PH UNITS
http://environment.data.gov.uk/water-quality/def/determinands/0507,Dichlorvos,Dichlorvos,0507,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/0050,Lead - as Pb,Lead,0050,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/0499,HCH Gamma,HCH -gamma :- {Lindane},0499,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/0068,Turbidity,Turbidity,0068,ftu,FORMAZIN TURBIDITY UNIT
http://environment.data.gov.uk/water-quality/def/determinands/0191,OrthophsFilt,"Orthophosphate, Dissolved",0191,mg/l,MILLIGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/1085,Pentachlrphl,Pentachlorophenol,1085,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/8647,Lead - wet w,Lead : Wet Wt,8647,ug/kg,MICROGRAM PER KILOGRAM
http://environment.data.gov.uk/water-quality/def/determinands/0539,DDT (OP'),DDT -op,0539,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/9819,"2,4,6-T","2,4,6-Trichlorophenol",9819,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/0111,Ammonia(N),Ammoniacal Nitrogen as N,0111,mg/l,MILLIGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/7531,1122TetClEth,"1,1,2,2-Tetrachloroethane",7531,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/8347,WEATHER FLAG,Weather : Unusual Condition Flag : Scale 0-5,8347,coded,Coded Result
http://environment.data.gov.uk/water-quality/def/determinands/9619,"1,3-DCB","1,3-Dichlorobenzene",9619,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/0180,Orthophospht,"Orthophosphate, reactive as P",0180,mg/l,MILLIGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/3164,Chromium -Cr,Chromium,3164,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/0135,Sld Sus@105C,"Solids, Suspended at 105 C",0135,mg/l,MILLIGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/0117,Nitrate-N,Nitrate as N,0117,mg/l,MILLIGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/7173,APR 430/410,Algal pigment ratio 430/410,7173,unitless,UNITLESS VALUE
http://environment.data.gov.uk/water-quality/def/determinands/6045,As-Filtered,"Arsenic, Dissolved",6045,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/0077,Cond @ 25C,Conductivity at 25 C,0077,us/cm,MICROSIEMENS PER CENTIMETRE
http://environment.data.gov.uk/water-quality/def/determinands/0551,DDE (PP'),DDE -pp,0551,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/0119,NH3 un-ion,Ammonia un-ionised as N,0119,mg/l,MILLIGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/3551,Dichlorprop,"Dichlorprop :- {2,4-DP}",3551,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/5560,p-Cresol,4-Methylphenol :- {p-Cresol},5560,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/0576,Hexachlorbnz,Hexachlorobenzene,0576,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/9771,PCB Con 118,PCB - 118,9771,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/0664,Oil & Grs Vs,"Visible oil or grease, significant trace: Present/Not found (1/0)",0664,pres/nf,PRESENT/NOT FOUND
http://environment.data.gov.uk/water-quality/def/determinands/0495,HCH Delta,HCH -delta,0495,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/0105,Mercury - Hg,Mercury,0105,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/0108,Cadmium - Cd,Cadmium,0108,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/6452,Copper - Cu,Copper,6452,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/3272,12-DCA,"1,2-Dichloroethane",3272,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/0082,O Dissolved,"Oxygen, Dissolved : (Laboratory) as O2",0082,mg/l,MILLIGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/3299,DiClMe,Dichloromethane :- {Methylene Dichloride},3299,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/4049,14Dichlrbnzn,"1,4-Dichlorobenzene",4049,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/3373,Chloroform,Chloroform :- {Trichloromethane},3373,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/0348,Phosphorus-P,"Phosphorus, Total as P",0348,mg/l,MILLIGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/6648,HEXACHLORO 1,Hexachlorobutadiene,6648,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/0511,Dieldrin,Dieldrin,0511,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/3268,"1,1,1-TCA","1,1,1-Trichloroethane",3268,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/7013,ECSW 1/2LOD,"Pesticides : Total (Gamma-HCH, Dieldrin, Parathion) : SWAD",7013,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/0183,Sulphate SO4,Sulphate as SO4,0183,mg/l,MILLIGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/0052,Pb Filtered,"Lead, Dissolved",0052,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/9686,Nitrogen - N,"Nitrogen, Total as N",9686,mg/l,MILLIGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/9990,Tecnazene,Tecnazene,9990,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/4064,Fluoroxypyr,Fluroxypyr,4064,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/7181,ClPyrphosMe,Chlorpyrifos-methyl,7181,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/7725,Flow-MeanDay,Flow : Daily mean,7725,m3/d,CUBIC METRE PER DAY
http://environment.data.gov.uk/water-quality/def/determinands/7159,FONOFOS,Fonofos,7159,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/3410,Ni- Filtered,"Nickel, Dissolved",3410,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/6059,Boron - as B,Boron,6059,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/6050,Manganse-Mn,Manganese,6050,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/5577,HexachlrbnzW,Hexachlorobenzene : Wet Wt,5577,ug/kg,MICROGRAM PER KILOGRAM
http://environment.data.gov.uk/water-quality/def/determinands/0562,Endrin,Endrin,0562,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/9851,PirimiphsMyl,Pirimiphos-methyl,9851,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/0487,HCH Alpha,HCH -alpha,0487,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/7694,SALIN CALC,Salinity : Calculated from Chloride,7694,g/l,GRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/9814,2Chlorophenl,2-Chlorophenol,9814,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/5558,"3,5-Xylenol","3,5-Dimethylphenol :- {3,5-Xylenol}",5558,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/6462,Nickel - Ni,Nickel,6462,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/0714,B-[ghi]-pery,"Benzo(g,h,i)Perylene",0714,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/9770,PCB Con 101,PCB - 101,9770,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/9258,PCB Con 156,PCB - 156,9258,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/6458,Mn- Filtered,"Manganese, Dissolved",6458,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/9943,N Oxid Filt,"Nitrogen, Total Oxidised, Filtered as N",9943,mg/l,MILLIGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/6368,Colfrm Conf,"Coliforms, Total : Confirmed",6368,no/100ml,NUMBER PER HUNDRED MILLILITRES
http://environment.data.gov.uk/water-quality/def/determinands/9993,NH3 filt N,"Ammoniacal Nitrogen, Filtered as N",9993,mg/l,MILLIGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/4065,Bentazone,Bentazone,4065,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/7914,DEPTH B.G.L.,Borehole : Depth to liquid :- {Ground level to liquid},7914,m,METRE
http://environment.data.gov.uk/water-quality/def/determinands/0099,C - Organic,"Carbon, Organic, Total as C :- {TOC}",0099,mg/l,MILLIGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/9768,PCB Con 028,PCB - 028,9768,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/9807,PCB Tot Cong,"PCB : Total Congeners 28, 52, 101.118,138,153,180",9807,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/6615,Chlorothalnl,Chlorothalonil,6615,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/9856,OrthophsFilt,"Orthophosphate, Filtered as P",9856,mg/l,MILLIGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/9989,Trifluralin,Trifluralin,9989,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/9475,DemetonSMyl,Demeton-S-methyl,9475,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/9338,Bendiocarb,Bendiocarb,9338,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/9197,PCB Con 105,PCB - 105,9197,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/3549,Mecoprop,Mecoprop,3549,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/3545,"2,4-D","2,4-D :- {2,4-Dichlorophenoxyacetic acid}",3545,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/0535,Malathion,Malathion,0535,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/3328,TetClEthene,Tetrachloroethylene :- {Perchloroethylene},3328,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/8654,Ni - wet wt,Nickel : Wet Wt,8654,ug/kg,MICROGRAM PER KILOGRAM
http://environment.data.gov.uk/water-quality/def/determinands/3408,Zn- Filtered,"Zinc, Dissolved",3408,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/7202,Tot Drins(4),"Drins : Total (Aldrin, Dieldrin, Endrin, Isodrin)",7202,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/3527,Flow l/s,"Flow, instantaneous",3527,l/s,LITRE PER SECOND
http://environment.data.gov.uk/water-quality/def/determinands/0177,Fluoride - F,Fluoride,0177,mg/l,MILLIGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/9094,"2,5-Xylenol","2,5-Dimethylphenol :- {2,5-Xylenol}",9094,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/3461,F Coli Pre,"Coliforms, Faecal : Presumptive : MF",3461,no/100ml,NUMBER PER HUNDRED MILLILITRES
http://environment.data.gov.uk/water-quality/def/determinands/8416,B-[a]-antWW,Benzo(a)Anthracene : Wet Wt,8416,ug/kg,MICROGRAM PER KILOGRAM
http://environment.data.gov.uk/water-quality/def/determinands/3002,Atrazine,Atrazine,3002,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/7888,CHLOR A,Chlorophyll : Methanol Extract,7888,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/9522,Phenol,Phenol,9522,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/0270,Hg - Dry Wt,Mercury : Dry Wt,0270,mg/kg,MILLIGRAM PER KILOGRAM
http://environment.data.gov.uk/water-quality/def/determinands/0162,Alky pH 4.5,Alkalinity to pH 4.5 as CaCO3,0162,mg/l,MILLIGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/3282,BROMO-DCM,Bromodichloromethane,3282,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/0144,Sld VSus@500,"Solids, Volatile at 500 C",0144,mg/l,MILLIGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/7717,SHRIMPM TOX,"Toxicity Test : Shrimp, 3 Day : Semistatic LC50",7717,%,PERCENTAGE
http://environment.data.gov.uk/water-quality/def/determinands/1556,DDT(PP')WWt,DDT -pp : Wet Wt,1556,ug/kg,MICROGRAM PER KILOGRAM
http://environment.data.gov.uk/water-quality/def/determinands/1118,Fenthion,Fenthion,1118,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/0209,K- Filtered,"Potassium, Dissolved",0209,mg/l,MILLIGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/3113,Chloroprophm,Chlorpropham,3113,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/6399,B-[a]-pyrene,Benzo(a)Pyrene,6399,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/6972,Methomyl,Methomyl,6972,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/6487,Triazophos,Triazophos,6487,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/6040,Tin - as Sn,Tin,6040,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/3546,245-T,"2,4,5-T :- {2,4,5-Trichlorophenoxyacetic acid}",3546,ug/l,MICROGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/3170,Cond - Field,Conductivity : In Situ,3170,us/cm,MICROSIEMENS PER CENTIMETRE
http://environment.data.gov.uk/water-quality/def/determinands/0092,COD as O2,Chemical Oxygen Demand :- {COD},0092,mg/l,MILLIGRAM PER LITRE
http://environment.data.gov.uk/water-quality/def/determinands/0067,Transparency,Transparency,0067,m,METRE
